0.txt,41,6-6,5-18,18-12,3-1,15-17,12-15,,instance,makespan,,instance,flowtime
1.txt,53,14-13,7-11,19-6,10-9,17-17,6-15,,0.txt,21,,0.txt,41
2.txt,41,2-6,0-9,16-0,1-5,6-10,1-10,,1.txt,20,,1.txt,53
3.txt,76,3-17,2-1,0-19,4-9,15-15,0-3,,2.txt,15,,2.txt,41
4.txt,9999,No feasible assignment,,,,,,,3.txt,23,,3.txt,76
5.txt,56,11-3,15-14,2-13,13-3,1-13,11-17,,5.txt,22,,5.txt,56
6.txt,50,2-7,8-7,12-13,14-0,0-18,6-1,,6.txt,21,,6.txt,50
7.txt,44,12-18,6-7,18-11,14-16,14-1,14-13,,7.txt,14,,7.txt,44
8.txt,43,16-7,12-15,19-16,16-19,5-8,4-12,,8.txt,12,,8.txt,43
9.txt,60,0-17,17-18,0-15,15-3,1-12,18-2,,9.txt,23,,9.txt,60
10.txt,54,1-14,18-10,2-8,14-16,18-17,16-4,,10.txt,15,,10.txt,54
